Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
2,0,0.0,3013.0,316.0,11247333376.0,1337.0,3238.0,2223.0,4259.0,509.0,111780.0,85.1,11273.0,347.0,18158.0,2732.0,1044.0,894.0,157879.0,0.00439,0.0162,0.00352,0.0252,0.00292,0.0246,0.00539,0.0252,0.00536,0.00905,0.00826,0.00282,0.00207,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.0,3013.0,311.0,11248824320.0,1337.0,3238.0,2147.0,4259.0,509.0,72259.0,93.0,11190.0,347.0,18158.0,2732.0,566.0,864.0,117700.0,0.00439,0.0162,0.00352,0.0248,0.00252,0.0185,0.00593,0.025,0.00536,0.00905,0.00823,0.00282,0.00207,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.0,3022.0,311.0,11248771072.0,864.0,3238.0,2147.0,4096.0,416.0,72259.0,101.0,11108.0,290.0,18158.0,1882.0,549.0,850.0,115958.0,0.00369,0.0117,0.00352,0.0248,0.00252,0.0185,0.00646,0.0249,0.00536,0.00669,0.00823,0.00282,0.00207,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.0,3014.0,319.0,11256643584.0,864.0,2023.0,2147.0,4096.0,424.0,72259.0,109.0,11026.0,290.0,18158.0,1820.0,566.0,850.0,114632.0,0.00369,0.0117,0.00352,0.017,0.00247,0.0185,0.007,0.0247,0.00536,0.00669,0.00823,0.00282,0.00207,0.00947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.0,3014.0,319.0,11259490304.0,864.0,2023.0,2147.0,1999.0,424.0,70341.0,117.0,8078.0,290.0,18158.0,1807.0,566.0,850.0,107664.0,0.00369,0.0117,0.00352,0.017,0.00247,0.0185,0.00753,0.0245,0.00333,0.00652,0.00823,0.00282,0.00207,0.00932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0.0,2947.0,319.0,11261349888.0,864.0,2023.0,2147.0,2066.0,424.0,70341.0,274.0,8078.0,290.0,8107.0,1807.0,566.0,850.0,97836.0,0.00369,0.0117,0.00343,0.017,0.00247,0.0185,0.00806,0.0144,0.00329,0.00652,0.00823,0.00282,0.00207,0.00851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.0,3026.0,320.0,11258294272.0,864.0,2023.0,2147.0,2066.0,424.0,70341.0,291.0,8304.0,290.0,8105.0,1807.0,566.0,624.0,97851.0,0.00369,0.0117,0.00198,0.017,0.00247,0.00812,0.0086,0.0142,0.00329,0.00652,0.00823,0.00254,0.00122,0.00746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,81.0,3026.0,319.0,11255279616.0,832.0,2023.0,923.0,2066.0,424.0,70341.0,308.0,8240.0,290.0,8212.0,1807.0,566.0,624.0,96657.0,0.00236,0.00486,0.00198,0.017,0.00207,0.00812,0.00523,0.0141,0.00329,0.00366,0.00823,0.00252,0.00121,0.00622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,126.0,3005.0,307.0,11254026240.0,844.0,2023.0,923.0,2066.0,424.0,31327.0,326.0,8177.0,175.0,8212.0,1807.0,566.0,624.0,57494.0,0.00243,0.00504,0.00198,0.017,0.00207,0.00885,0.00553,0.014,0.00329,0.00366,0.00823,0.00263,0.00121,0.00633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3,91.0,3092.0,307.0,11332743168.0,361.0,2016.0,923.0,2066.0,424.0,31327.0,343.0,8114.0,182.0,8212.0,1172.0,561.0,624.0,56324.0,0.00243,0.00539,0.00198,0.0053,0.00207,0.00885,0.00584,0.0139,0.00329,0.00366,0.00258,0.00263,0.00121,0.00493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
